[2026-05-06 11:26:11] Mesin=M03 | MaxTemp=94.36°C
[2026-05-06 11:26:11] Mesin=M02 | MaxTemp=99.47°C
[2026-05-06 11:26:11] Mesin=M01 | MaxTemp=94.92°C
[2026-05-06 11:31:17] Mesin=M04 | MaxTemp=99.73°C
[2026-05-06 11:31:17] Mesin=M02 | MaxTemp=99.47°C
[2026-05-06 11:31:17] Mesin=M01 | MaxTemp=98.22°C
[2026-05-06 11:31:17] Mesin=M03 | MaxTemp=98.59°C
[2026-05-06 11:34:56] Mesin=M03 | MaxTemp=98.59°C
[2026-05-06 11:34:56] Mesin=M01 | MaxTemp=98.22°C
[2026-05-06 11:34:56] Mesin=M02 | MaxTemp=99.47°C
[2026-05-06 11:34:56] Mesin=M04 | MaxTemp=99.73°C
[2026-05-06 11:36:15] Mesin=M03 | MaxTemp=98.59°C
[2026-05-06 11:36:15] Mesin=M01 | MaxTemp=98.22°C
[2026-05-06 11:36:15] Mesin=M02 | MaxTemp=99.47°C
[2026-05-06 11:36:15] Mesin=M04 | MaxTemp=99.73°C
